Tag No.,Tag State,Tag Date,Report State,Report Country,Report Date,Miles
288RQ,IA,2000-08-30,Michoacán,MEXICO,2001-03-27,1686.0
941WM,IL,2000-08-31,Michoacán,MEXICO,,1686.0
181HK,IA,2000-08-31,Michoacán,MEXICO,2001-01-26,1673.0
896JT,IA,1999-09-09,Michoacán,MEXICO,2000-12-05,1665.0
401RR,IA,2000-09-04,Michoacán,MEXICO,,1665.0
380NG,IL,1999-09-10,Michoacán,MEXICO,2001-01-07,1663.0
254WS,IA,2000-09-10,Michoacán,MEXICO,2001-02-28,1662.0
237HU,SD,1999-08-30,Michoacán,MEXICO,2001-01-07,1662.0
725TT,SD,2000-09-02,Michoacán,MEXICO,2001-01-01,1662.0
979YL,SD,2000-09-15,Michoacán,MEXICO,2001-01-07,1662.0
299YM,SD,2000-09-15,Michoacán,MEXICO,2001-01-12,1662.0
606YM,SD,2000-09-06,Michoacán,MEXICO,2001-01-12,1662.0
486YM,SD,,Michoacán,MEXICO,2001-01-12,1662.0
426HS,SD,,Michoacán,MEXICO,2001-02-01,1662.0
515HT,SD,1999-09-01,Michoacán,MEXICO,2001-03-01,1662.0
619YM,SD,2000-09-06,Michoacán,MEXICO,2001-01-26,1662.0
413WH,SD,2000-08-31,Michoacán,MEXICO,2001-02-28,1662.0
469YM,SD,2000-09-06,Michoacán,MEXICO,2001-02-28,1662.0
945UT,SD,2000-09-02,Michoacán,MEXICO,,1662.0
899WG,SD,2000-08-28,Michoacán,MEXICO,2001-03-27,1661.0
771WH,SD,2000-08-30,Michoacán,MEXICO,2001-01-07,1654.0
399WH,SD,2000-08-30,Michoacán,MEXICO,,1654.0
756WH,SD,2000-08-30,Michoacán,MEXICO,,1654.0
221SP,SD,2000-09-05,Michoacán,MEXICO,2001-01-26,1654.0
585LU,IL,1999-09-14,Michoacán,MEXICO,2001-01-07,1651.0
508NA,IA,1999-09-22,Michoacán,MEXICO,2001-01-07,1646.0
816XP,IA,2000-09-10,Michoacán,MEXICO,2001-03-05,1646.0
688WH,SD,2000-08-31,Michoacán,MEXICO,2001-03-01,1643.0
507WF,IA,2000-09-09,Michoacán,MEXICO,2001-03-01,1643.0
485RS,IA,2000-09-11,Michoacán,MEXICO,2001-02-28,1643.0
381OX,IA,1999-09-25,MEXICO,MEXICO,2001-03-09,1637.0
519RS,IA,2000-09-10,Michoacán,MEXICO,2001-03-01,1631.0
436UA,IA,2000-09-13,Michoacán,MEXICO,2001-01-26,1631.0
911YL,SD,2000-09-06,Michoacán,MEXICO,2001-02-28,1631.0
861NA,IA,1999-09-10,Michoacán,MEXICO,2001-01-07,1629.0
129RL,IA,2000-09-04,Michoacán,MEXICO,2001-02-28,1628.0
284JI,IA,1999-09-23,Michoacán,MEXICO,2001-02-02,1625.0
555NA,IA,1999-09-10,Michoacán,MEXICO,2001-01-31,1625.0
957RQ,IA,2000-09-12,Michoacán,MEXICO,2001-02-11,1623.0
935RO,IL,2000-09-01,Michoacán,MEXICO,2001-01-26,1616.0
745WI,IL,2000-09-13,Michoacán,MEXICO,,1609.0
798WE,IA,2000-08-31,Michoacán,MEXICO,2001-01-07,1604.0
707ZR,IA,2000-09-21,Michoacán,MEXICO,2001-01-26,1604.0
994WE,IA,2000-09-12,Michoacán,MEXICO,2001-03-05,1604.0
534MY,IA,2000-09-06,MEXICO,MEXICO,2001-03-09,1596.0
012RT,IA,2000-09-01,Michoacán,MEXICO,2001-03-27,1593.0
480XP,IA,2000-09-10,Michoacán,MEXICO,2001-01-12,1592.0
468XP,IA,2000-09-05,Michoacán,MEXICO,,1592.0
730WO,IA,2000-09-01,Michoacán,MEXICO,2001-02-28,1587.0
406KZ,IA,1999-09-10,Michoacán,MEXICO,2001-01-07,1584.0
447RT,IA,2000-09-06,Michoacán,MEXICO,2001-03-01,1579.0
081OJ,IA,1999-09-21,Michoacán,MEXICO,2001-01-07,1570.0
326SM,NE,2000-08-30,Michoacán,MEXICO,2001-02-28,1559.0
963IN,NE,1999-09-09,Michoacán,MEXICO,2001-01-07,1547.0
070SZ,NE,2000-09-13,Michoacán,MEXICO,2001-01-07,1547.0
008SZ,NE,2000-09-11,Michoacán,MEXICO,2001-02-25,1547.0
214SM,NE,2000-09-11,Michoacán,MEXICO,2001-02-25,1547.0
708RP,IA,2000-09-06,MEXICO,MEXICO,2001-03-04,1532.0
672UR,IA,2000-09-28,Michoacán,MEXICO,2001-03-01,1531.0
773RP,IA,2000-09-09,Michoacán,MEXICO,2001-02-01,1522.0
BW720,NE,2000-08-06,Michoacán,MEXICO,2001-02-01,1519.0
856YP,NE,2000-09-07,Michoacán,MEXICO,2001-01-26,1519.0
116HM,IA,1999-09-09,Michoacán,MEXICO,2001-01-07,1512.0
DO620,NE,2000-09-11,Michoacán,MEXICO,2001-01-07,1512.0
747RT,IA,2000-09-12,Michoacán,MEXICO,2001-02-28,1512.0
282SZ,NE,2000-09-09,Michoacán,MEXICO,,1512.0
963UI,NE,2000-09-10,Michoacán,MEXICO,2001-03-01,1508.0
010JU,IA,1999-09-17,Michoacán,MEXICO,2001-01-07,1500.0
350JS,NE,1999-09-23,Michoacán,MEXICO,2000-12-01,1476.0
037IB,MO,1999-09-21,Michoacán,MEXICO,2001-01-07,1473.0
667UU,NE,2000-09-08,Michoacán,MEXICO,2001-02-01,1472.0
650UU,NE,2000-09-08,Michoacán,MEXICO,2001-01-26,1472.0
327TW,KY,2000-09-17,Michoacán,MEXICO,2001-03-27,1465.0
313XH,NE,2000-09-12,Michoacán,MEXICO,2001-02-28,1449.0
279XH,NE,2000-09-12,Michoacán,MEXICO,2001-03-15,1449.0
758WK,NE,2000-09-20,Michoacán,MEXICO,2001-02-25,1425.0
604WP,MO,2000-09-11,Michoacán,MEXICO,2001-02-28,1419.0
249IA,MO,1999-09-24,Michoacán,MEXICO,2001-02-10,1387.0
CJ173,KS,1998-09-17,MEXICO,MEXICO,2001-03-09,1385.0
052XZ,KS,2000-09-19,Michoacán,MEXICO,2001-01-26,1371.0
763YH,KS,2000-09-13,Michoacán,MEXICO,2001-01-07,1370.0
SZ941,KS,1997-09-16,Michoacán,MEXICO,2001-01-12,1370.0
820YI,KS,2000-09-14,Michoacán,MEXICO,2001-02-01,1370.0
594YG,KS,2000-09-12,Michoacán,MEXICO,2001-03-01,1370.0
692YH,KS,2000-09-13,Michoacán,MEXICO,2001-01-26,1370.0
668YG,KS,2000-09-12,Michoacán,MEXICO,2001-01-26,1370.0
409YG,KS,2000-09-12,Michoacán,MEXICO,2001-03-14,1370.0
003YI,KS,2000-09-14,Michoacán,MEXICO,2001-02-28,1370.0
599YG,KS,2000-09-12,Michoacán,MEXICO,,1370.0
230YH,KS,2000-09-13,Michoacán,MEXICO,,1370.0
366YI,KS,2000-09-14,Michoacán,MEXICO,,1370.0
229SU,KS,2000-09-19,Michoacán,MEXICO,2001-02-28,1367.0
670XD,KS,2000-09-25,Michoacán,MEXICO,2001-02-02,1367.0
109NC,KS,2000-09-11,Michoacán,MEXICO,2000-12-05,1366.0
UQ640,KS,1997-09-29,Michoacán,MEXICO,2001-01-26,1366.0
746PC,KS,2000-09-29,Michoacán,MEXICO,2001-03-05,1366.0
525PS,KS,2000-09-29,Michoacán,MEXICO,2001-02-28,1366.0
131WJ,KS,2000-09-25,Michoacán,MEXICO,,1366.0
281ST,KS,2000-09-22,Michoacán,MEXICO,2001-03-07,1366.0
835IA,KS,1999-09-26,Michoacán,MEXICO,2000-12-05,1361.0
031LW,KS,1999-09-22,Michoacán,MEXICO,2001-01-14,1351.0
025XG,KS,2000-09-21,Michoacán,MEXICO,2001-03-27,1332.0
RF793,KS,1997-10-08,Michoacán,MEXICO,2001-01-12,1328.0
972UG,KS,2000-09-17,Michoacán,MEXICO,2001-01-12,1328.0
382XE,KS,2000-09-24,Michoacán,MEXICO,2001-02-01,1328.0
877UG,KS,2000-09-18,Michoacán,MEXICO,2001-03-05,1328.0
XP946,KS,,Michoacán,MEXICO,2001-03-01,1313.0
319XF,KS,2000-09-13,Michoacán,MEXICO,2001-02-28,1305.0
311XF,KS,2000-09-13,Michoacán,MEXICO,2001-03-01,1301.0
932XR,KS,2000-09-14,Michoacán,MEXICO,2001-01-07,1301.0
955XR,KS,2000-09-14,Michoacán,MEXICO,2001-03-01,1301.0
924SW,KS,2000-09-13,Michoacán,MEXICO,2001-01-26,1295.0
180JC,KS,2000-09-11,Michoacán,MEXICO,2001-01-07,1291.0
621JH,KS,2000-09-11,Michoacán,MEXICO,2001-01-26,1291.0
DZ548,KS,2000-09-11,Michoacán,MEXICO,2001-01-26,1291.0
500KU,KS,2000-09-11,Michoacán,MEXICO,2001-01-28,1291.0
631JH,KS,2000-09-11,Michoacán,MEXICO,2001-03-01,1291.0
150IZ,KS,2000-09-11,Michoacán,MEXICO,2001-02-28,1291.0
954IU,KS,2000-09-11,Michoacán,MEXICO,2001-02-27,1291.0
ED040,KS,2000-09-11,Michoacán,MEXICO,2001-02-28,1291.0
DZ574,KS,2000-09-11,Michoacán,MEXICO,2001-01-14,1291.0
650ML,KS,2000-09-14,Michoacán,MEXICO,2001-03-01,1287.0
547XF,KS,2000-09-12,Michoacán,MEXICO,2001-01-26,1287.0
AU663,KS,1998-09-17,Michoacán,MEXICO,2001-02-28,1287.0
568JE,KS,2000-09-11,Michoacán,MEXICO,2001-01-31,1286.0
488XS,KS,2000-09-12,Michoacán,MEXICO,,1269.0
520XS,KS,2000-09-17,Michoacán,MEXICO,,1269.0
514WN,KS,2000-09-19,Michoacán,MEXICO,2001-03-27,1267.0
620XX,KS,2000-09-22,Michoacán,MEXICO,2001-01-26,1257.0
XT827,KS,1998-09-30,Michoacán,MEXICO,2001-01-07,1245.0
883ZN,KS,2000-09-19,Michoacán,MEXICO,2001-01-12,1215.0
836ZN,KS,2000-09-17,Michoacán,MEXICO,2001-02-01,1215.0
744ZN,KS,2000-09-20,Michoacán,MEXICO,2001-01-26,1215.0
774ZN,KS,2000-09-19,Michoacán,MEXICO,2001-01-26,1215.0
866ZN,KS,2000-09-19,Michoacán,MEXICO,2001-01-28,1215.0
959ZN,KS,2000-09-19,Michoacán,MEXICO,2001-02-25,1215.0
941PO,AR,2000-10-08,Michoacán,MEXICO,2001-03-01,1151.0
301TC,AR,2000-09-26,Michoacán,MEXICO,2001-01-27,1151.0
744TC,AR,2000-10-03,Michoacán,MEXICO,2001-01-07,1143.0
739TC,AR,2000-10-03,Michoacán,MEXICO,,1139.0
162PU,MA,2000-10-02,FL,USA,2000-11-03,1122.0
226TE,OK,2000-09-20,Michoacán,MEXICO,2001-03-01,1105.0
045XJ,OK,,Mexico,USA,2001-02-11,1105.0
039XJ,OK,,Mexico,USA,2001-01-07,1105.0
457ID,OK,2000-09-16,MEXICO,MEXICO,2001-03-09,1105.0
491PO,AR,2000-09-30,Michoacán,MEXICO,2001-03-27,1098.0
809TF,OK,2000-09-16,Michoacán,MEXICO,2001-03-05,1088.0
614RH,MI,2000-09-19,TX,USA,2000-10-13,981.0
849ZT,TX,2000-10-11,MEXICO,MEXICO,2001-03-01,969.0
792LW,TX,1999-10-05,Michoacán,MEXICO,2001-01-07,943.0
379SI,MN,2000-08-30,TX,USA,2000-10-01,934.0
895ZK,TX,2000-10-12,Michoacán,MEXICO,2001-01-26,923.0
368TG,TX,2000-10-11,Michoacán,MEXICO,2001-01-31,917.0
350US,WI,2000-08-31,TX,USA,2000-10-25,905.0
586IT,TX,2000-10-04,Michoacán,MEXICO,2001-01-07,884.0
372KS,TX,1999-10-09,Michoacán,MEXICO,2001-01-07,884.0
789KR,TX,1999-10-09,Michoacán,MEXICO,2000-12-05,884.0
021KS,TX,1999-10-14,Michoacán,MEXICO,2001-01-15,884.0
202IU,TX,1999-10-28,MEXICO,MEXICO,2001-03-09,878.0
464YJ,TX,2000-10-13,Michoacán,MEXICO,2001-03-01,872.0
346WG,WI,2000-09-14,TX,USA,2000-11-15,859.0
992QB,PA,2000-09-23,FL,USA,2000-10-11,849.0
832YJ,TX,2000-09-23,Michoacán,MEXICO,2001-01-07,814.0
813YJ,TX,2000-09-24,Michoacán,MEXICO,2001-03-05,814.0
666RW,IA,2000-09-06,OK,USA,2000-09-27,719.0
289XD,KS,2000-09-21,TX,USA,2000-10-31,683.0
245SO,TX,2000-10-14,Michoacán,MEXICO,2001-03-01,673.0
ER333,TX,1998-10-29,Michoacán,MEXICO,2001-02-28,673.0
257ZL,TX,2000-10-01,Michoacán,MEXICO,2001-03-27,673.0
216ZL,TX,2000-10-01,Michoacán,MEXICO,2001-02-28,673.0
340ZL,TX,2000-10-04,Michoacán,MEXICO,2001-02-28,673.0
427XL,TX,2000-11-02,Michoacán,MEXICO,,643.0
611WL,TX,2000-11-01,Michoacán,MEXICO,2001-02-28,614.0
374SU,KS,2000-09-19,TX,USA,2000-11-11,596.0
206YT,WV,2000-09-19,FL,USA,2000-10-13,571.0
474PS,MN,2000-09-11,MO,USA,2000-10-01,496.0
801XA,IA,2000-09-06,OK,USA,2000-09-13,491.0
914XF,KS,2000-09-18,TX,USA,2000-10-12,465.0
814SL,KS,2000-09-05,TX,USA,2000-09-16,443.0
473NW,MEXICO,1999-10-28,Michoacán,MEXICO,2001-01-07,416.0
484NW,MEXICO,1999-10-28,Michoacán,MEXICO,2001-01-07,416.0
780PR,QUE,2000-09-03,CT,USA,2000-09-20,398.0
024RG,IN,2000-09-11,MO,USA,2000-10-02,382.0
590SA,WI,2000-08-26,MO,USA,2000-09-14,320.0
685QH,SC,2000-10-29,FL,USA,2000-12-28,320.0
031ZJ,MN,2000-10-10,WI,USA,2000-10-20,309.0
248ZN,MN,2000-10-10,IA,USA,2000-10-31,272.0
654TN,VA,2000-10-19,NC,USA,2000-10-26,252.0
579ZC,VT,2000-08-18,NY,USA,2000-09-26,250.0
176SS,MO,2000-10-03,AR,USA,2000-10-22,245.0
155XH,NE,2000-09-12,KS,USA,2000-09-20,229.0
523PC,CT,2000-09-08,NJ,USA,2000-09-30,207.0
860YE,MO,2000-09-10,KS,USA,2000-09-25,203.0
920ZR,MN,2000-10-13,IA,USA,2000-11-15,162.0
706YN,QUE,2000-09-30,NH,USA,2000-10-14,159.0
722XY,ONT,2000-09-17,PA,USA,2000-09-27,159.0
878ZS,TX,2000-10-03,TX,USA,2000-10-13,156.0
386RW,IA,2000-08-27,MN,USA,2000-09-09,151.0
333RU,IA,2000-09-06,IA,USA,2000-10-03,145.0
347UW,CT,2000-09-25,NJ,USA,2000-09-30,111.0
644QD,NJ,2000-09-16,NY,USA,,88.0
871WL,CT,2000-09-21,NY,USA,2000-11-13,85.0
082PX,ME,2000-08-22,ME,USA,2000-09-01,65.0
253PY,CT,2000-09-12,CT,USA,2000-09-21,61.0
922XU,IL,2000-09-18,WI,USA,2000-08-15,61.0
461PY,CT,2000-09-18,NY,USA,2000-09-21,60.0
915XF,KS,2000-09-18,KS,USA,2000-09-22,46.0
077WZ,OH,2000-09-29,OH,USA,2000-10-25,44.0
303PY,CT,2000-09-16,CT,USA,2000-09-19,39.0
916YK,WV,2000-09-25,VA,USA,2000-10-14,38.0
253PY,CT,2000-09-21,NY,USA,2000-09-24,32.0
350PY,CT,2000-10-03,NY,USA,2000-10-06,32.0
472PY,CT,2000-09-20,NY,USA,2000-09-24,31.0
877WB,FL,2000-10-11,FL,USA,2000-10-11,22.0
394SP,SD,2000-09-12,SD,USA,2000-09-14,21.0
047ZU,TX,2000-10-21,TX,USA,2000-10-25,20.0
589SS,MO,2000-09-29,KS,USA,2000-10-01,15.0
682SD,MN,2000-10-09,MN,USA,2000-10-13,13.0
475UW,CT,2000-10-03,CT,USA,2000-10-14,11.0
841ZY,NJ,,NJ,USA,,10.0
098ZP,NJ,,NJ,USA,2000-10-13,10.0
180XC,MN,2000-09-28,MN,USA,2000-10-01,10.0
926JA,MI,,MI,USA,2000-08-06,
002OB,,,FL,USA,2000-10-11,
NF105,MN,,MN,USA,2000-10-13,
116QP,KS,,KS,USA,2000-10-15,
888ZE,KS,,KS,USA,2000-10-02,
014QP,KS,,KS,USA,2000-09-16,
732LU,KS,,KS,USA,2000-09-23,
ZQ898,WV,,WV,USA,2000-09-25,
646YN,QUE,,MA,USA,2000-10-25,
027JN,ONT,,Michoacán,MEXICO,2001-01-07,
989US,,,Michoacán,MEXICO,2001-01-26,
326UT,,,Michoacán,MEXICO,2001-01-12,
421FF,MN,,Michoacán,MEXICO,2000-12-01,
927YO,IA,,Michoacán,MEXICO,2001-02-01,
184XJ,OK,,Michoacán,MEXICO,2001-02-01,
003YK,TX,,Michoacán,MEXICO,2001-03-14,
159YM,SD,,Michoacán,MEXICO,,
151YM,SD,,Michoacán,MEXICO,2001-02-28,
025TD,OK,,Michoacán,MEXICO,,
235IS,TX,,Michoacán,MEXICO,2001-01-07,
495JK,TX,,Michoacán,MEXICO,2001-02-11,
474SL,KS,,KS,USA,,
611PF,MN,,TN,USA,,
260PG,MN,,Michoacán,MEXICO,2001-02-01,
175PG,MN,,Michoacán,MEXICO,2001-02-28,
295PG,MN,,Michoacán,MEXICO,2001-01-26,
438JW,MN,,Michoacán,MEXICO,2001-01-07,
