Tag No.,Tag State,Tag Date,Report State,Report Country,Report Date,Miles
613PZ,CT,2000-09-24,Michoacán,MEXICO,2001-01-26,2222.0
486KF,ONT,1999-09-12,Michoacán,MEXICO,2001-01-07,2090.0
067GA,MI,2000-08-20,Michoacán,MEXICO,2001-01-07,1995.0
154JR,VA,1999-09-25,MEXICO,MEXICO,2001-03-09,1969.0
017MS,PA,1999-09-01,Michoacán,MEXICO,2000-12-01,1927.0
505JA,MI,1999-08-30,MEXICO,MEXICO,2001-03-09,1906.0
341TN,VA,2000-10-03,Michoacán,MEXICO,2001-01-26,1901.0
384LZ,OH,1999-09-14,MEXICO,MEXICO,2001-03-09,1892.0
945QU,VA,2000-09-25,Michoacán,MEXICO,2001-02-28,1873.0
709TX,MI,2000-08-30,Michoacán,MEXICO,,1858.0
861UC,MN,2000-08-24,Michoacán,MEXICO,2001-03-07,1856.0
650UT,MN,2000-08-24,Michoacán,MEXICO,2001-03-27,1853.0
639UT,MN,2000-08-19,Michoacán,MEXICO,,1853.0
725UC,MN,2000-08-26,Michoacán,MEXICO,2001-02-01,1842.0
172SP,MN,2000-08-19,Michoacán,MEXICO,2001-02-01,1838.0
924WO,MN,2000-09-10,Michoacán,MEXICO,2001-01-07,1816.0
839WO,MN,2000-08-26,Michoacán,MEXICO,2001-02-28,1816.0
205RE,OH,2000-09-17,Michoacán,MEXICO,2001-01-07,1814.0
155UT,MN,2000-09-05,Michoacán,MEXICO,2001-02-28,1807.0
355RJ,MI,2000-08-31,Michoacán,MEXICO,2001-01-07,1804.0
087TS,MN,2000-09-11,Michoacán,MEXICO,2001-01-26,1800.0
342SP,SD,2000-09-04,MEXICO,MEXICO,2001-03-09,1800.0
920LQ,OH,1999-09-12,Michoacán,MEXICO,2000-12-01,1796.0
815XM,MN,2000-08-30,Michoacán,MEXICO,2001-02-28,1794.0
957FF,MN,1999-09-27,Michoacán,MEXICO,2001-01-07,1793.0
421UC,MN,2000-08-23,Michoacán,MEXICO,2001-03-14,1791.0
443FC,MN,1999-08-28,Michoacán,MEXICO,2001-01-14,1791.0
290FZ,MN,1999-08-31,MEXICO,MEXICO,2001-03-09,1783.0
424JC,MN,1999-09-11,Michoacán,MEXICO,2001-01-07,1781.0
669RM,WI,2000-08-31,MEXICO,MEXICO,2001-03-09,1780.0
330WG,WI,2000-08-28,Michoacán,MEXICO,2001-03-01,1771.0
513FZ,MN,1999-08-31,Michoacán,MEXICO,2001-01-07,1768.0
179FA,MN,1999-08-20,Michoacán,MEXICO,2001-01-07,1768.0
345TX,OH,2000-09-21,Michoacán,MEXICO,2001-03-27,1742.0
311TX,OH,2000-09-14,Michoacán,MEXICO,2001-03-04,1742.0
233YT,WV,2000-09-13,Michoacán,MEXICO,2001-01-26,1731.0
303QW,NC,2000-09-26,Michoacán,MEXICO,2001-01-07,1726.0
692RL,IA,2000-09-10,Michoacán,MEXICO,2001-01-07,1714.0
481HN,IA,1999-08-28,Michoacán,MEXICO,2001-01-07,1705.0
831JB,IA,1999-09-08,Michoacán,MEXICO,2001-01-07,1704.0
419RW,IA,2000-08-30,Michoacán,MEXICO,2001-01-12,1696.0
302RW,IA,2000-08-22,Michoacán,MEXICO,2001-01-01,1696.0
060RX,IA,2000-09-08,Michoacán,MEXICO,2001-03-01,1696.0
771RW,IA,2000-09-09,Michoacán,MEXICO,2001-03-01,1696.0
489RW,IA,2000-08-27,Michoacán,MEXICO,2001-01-26,1696.0
096RX,IA,2000-09-08,Michoacán,MEXICO,,1696.0
