,Tag No.,Tag State,Tag Date,Report State,Report Country,Report Date,Miles
0,IV 301,MN,1996-09-04,Michoacán,MEXICO,1997-03-04,1760.0
1,MC 648,IL,1996-09-30,Michoacán,MEXICO,1997-02-01,1660.0
2,EB 370,KS,1996-09-18,Michoacán,MEXICO,1997-02-01,1375.0
3,MK 276,KS,1996-09-14,Michoacán,MEXICO,1997-02-01,1375.0
4,KN 176,KS,1996-09-12,Michoacán,MEXICO,1997-03-10,1375.0
5,JS 252,KS,1996-09-24,Michoacán,MEXICO,1997-03-01,1370.0
6,BP144,KS,1995-09-18,Michoacán,MEXICO,1996-02-01,1340.0
7,DY663,MN,1996-09-16,TX,USA,1996-10-23,1191.0
8,JA714,OK,1996-09-30,Michoacán,MEXICO,1997-03-01,1190.0
9,DJ 274,LA,1996-10-02,Michoacán,MEXICO,1997-02-01,950.0
10,JZ 511,IL,1996-09-09,TX,USA,1996-10-12,802.0
11,EY996,IA,1996-10-12,SC,USA,1996-11-05,786.0
12,HW 535,MO,1996-10-14,AL,USA,1996-11-10,712.0
13,ES 735,NY,1996-10-01,SC,USA,1996-10-20,676.0
14,HW 521,KS,1996-10-12,TX,USA,1996-11-04,634.0
15,EB 274,KS,1996-09-17,TX,USA,1996-10-20,519.0
16,EP597,KS,1996-09-21,TX,USA,1996-10-08,508.0
17,DS 491,KS,1996-09-21,TX,USA,1996-10-13,451.0
18,IV 489,MN,1996-09-05,MO,USA,1996-09-12,405.0
19,HB 709,KS,1996-09-30,TX,USA,1996-10-10,396.0
20,DO 599,KS,1996-10-02,TX,USA,1996-10-27,384.0
21,DT 298,VA,1996-10-05,MD,USA,1996-10-21,376.0
22,MC 551,IA,1996-09-20,KY,USA,1996-10-05,341.0
23,JN 817,KS,1996-09-11,OK,USA,1996-09-29,320.0
24,IZ 280,ONT,1996-10-07,NJ,USA,1996-10-16,298.0
25,KH 568,OK,1996-09-25,TX,USA,1996-12-12,269.0
26,HI 001,KS,1996-09-18,OK,USA,1996-10-04,269.0
27,JV 294,KS,1996-09-18,OK,USA,1996-10-02,227.0
28,DA772,VT,1996-09-18,RI,USA,1996-09-22,204.0
29,EW 680,KS,1996-09-01,OK,USA,1996-09-28,192.0
30,DS 300,KS,1996-09-20,OK,USA,1996-09-25,180.0
31,KE 313,IL,1996-09-23,IL,USA,1996-10-01,149.0
32,IT 900,NY,1996-09-29,PA,USA,1996-10-07,148.0
33,JE 907,KS,1996-10-02,OK,USA,1996-10-15,144.0
34,CT 029,NY,1996-09-26,NJ,USA,1996-10-02,138.0
35,IW 703,WV,1996-08-24,WV,USA,1996-08-31,115.0
36,JJ 826,IA,1996-09-10,IA,USA,1996-09-07,110.0
37,KM 517,KS,1996-09-13,KS,USA,1996-09-21,105.0
38,ES 356,KS,1996-09-22,KS,USA,1996-10-01,87.0
39,JA853,NH,1996-10-16,MA,USA,1996-10-19,85.0
40,EC 748,KS,1996-09-13,KS,USA,1996-09-22,60.0
41,KN 625,KS,1996-09-15,KS,USA,1996-09-16,60.0
42,CX 069,TX,1996-10-29,TX,USA,1996-11-19,59.0
43,EO 157,SC,1996-10-14,SC,USA,1996-10-26,56.0
44,DT 926,ONT,1996-10-05,OH,USA,1996-10-18,50.0
45,MI 832,MI,1996-09-19,MI,USA,1996-09-24,46.0
46,JA535,VA,1996-09-20,VA,USA,1996-09-25,42.0
47,IS 260,WV,1996-09-19,VA,USA,1996-10-01,41.0
48,JJ 799,IA,1996-09-07,IA,USA,1996-09-10,39.0
49,KB 495,TX,1996-10-10,TX,USA,1996-10-11,33.0
50,JK 078,KS,1996-09-16,KS,USA,1996-09-25,26.0
51,JM 123,KS,1996-09-19,KS,USA,1996-09-19,22.0
52,EH 973,KS,1996-09-15,KS,USA,1996-09-19,12.0
53,ET 899,KS,1996-09-25,KS,USA,1996-09-27,11.0
54,CV 690,ME,1996-09-27,ME,USA,1996-10-01,10.0
55,CX 824,NY,1996-08-24,NY,USA,1996-09-10,9.0
56,EB 011,MN,1996-10-16,MN,USA,1996-10-22,7.0
57,KZ 000,TX,1996-10-25,TX,USA,1996-11-04,7.0
58,HD 051,KS,1996-09-26,KS,USA,1996-10-01,7.0
59,HD 347,KS,1996-09-26,KS,USA,1996-10-01,7.0
60,HD 446,KS,1996-09-26,KS,USA,1996-10-01,7.0
61,"
HC 048",KS,1996-09-26,KS,USA,1996-10-01,7.0
62,CT 674,LA,1996-10-08,,USA,1996-10-09,5.0
63,DW 078,MN,1996-09-25,MN,USA,1996-09-27,3.0
64,DV 579,TX,1996-11-03,TX,USA,1996-11-11,3.0
65,KN 107,KS,1996-09-12,KS,USA,1996-09-13,3.0
66,EH 419,KS,1996-09-20,KS,USA,1996-09-20,3.0
67,DV 651,KS,1996-09-16,KS,USA,1996-09-17,3.0
68,DV 660,KS,1996-09-16,KS,USA,1996-09-17,3.0
69,KO 685,KS,1996-09-16,KS,USA,1996-09-18,3.0
70,HY 802,OK,1996-09-30,OK,USA,1996-10-01,2.0
71,DP 521,KS,1996-10-12,KS,USA,1996-10-13,2.0
72,DX 480,MN,1996-10-12,MN,USA,1996-10-12,1.0
73,CT 641,TX,1996-09-24,TX,USA,1996-09-24,1.0
74,015 MH,,,Michoacán,MEXICO,1996-02-01,
