Tag No.,Tag State,Tag Date,Report State,Report Country,Report Date,Miles
XA226,WI,1998-09-25,TX,USA,1999-04-06,1814
WJ990,CT,1998-08-29,Michoacán,MEXICO,1999-03-01,2231
BG365,CT,1998-09-03,Michoacán,MEXICO,1999-02-10,2199
WK478,CT,1998-09-21,Michoacán,MEXICO,1999-02-17,2186
WK499,CT,1998-09-26,Michoacán,MEXICO,1999-04-05,2186
ZW447,ONT,1998-09-07,Michoacán,MEXICO,1999-02-10,2135
MS6921,ONT,1997-08-28,Michoacán,MEXICO,1999-03-01,2124
DC854,ONT,1998-09-14,Michoacán,MEXICO,1999-02-19,2050
yz031,PA,1998-09-21,Michoacán,MEXICO,1999-02-19,1998
WN900,PA,1998-09-07,Michoacán,MEXICO,1999-04-05,1947
WN906,PA,1998-09-11,Michoacán,MEXICO,1999-02-20,1947
WR120,MD,1998-09-15,Michoacán,MEXICO,1999-03-10,1922
WU868,OH,1998-08-30,Michoacán,MEXICO,1999-02-22,1892
SD585,OH,1998-09-06,Michoacán,MEXICO,1999-02-17,1886
ZS531,OH,1998-09-13,Michoacán,MEXICO,1999-02-10,1886
WX466,OH,1998-09-05,Michoacán,MEXICO,1999-02-20,1876
WX536,OH,1998-09-12,Michoacán,MEXICO,1999-02-19,1859
AC207,MN,1998-08-20,Michoacán,MEXICO,1999-03-03,1859
AC383,MN,1998-08-25,Michoacán,MEXICO,1999-02-22,1859
ZN486,MN,1998-09-03,Michoacán,MEXICO,1999-02-10,1844
ZN490,MN,1998-09-08,Michoacán,MEXICO,1998-12-28,1844
ZO069,MN,1998-09-04,Michoacán,MEXICO,1999-03-01,1844
XO720,MI,1998-09-18,Michoacán,MEXICO,1998-12-31,1832
SI287,WI,1997-09-19,Michoacán,MEXICO,1999-02-20,1831
YH359,,1998-09-20,Michoacán,MEXICO,1999-03-11,1826
YH613,,1998-09-20,Michoacán,MEXICO,1999-02-17,1826
YH637,,1998-09-20,Michoacán,MEXICO,1998-12-28,1826
BS711,OH,1998-09-14,Michoacán,MEXICO,1999-04-05,1825
XA195,WI,1998-09-21,Michoacán,MEXICO,1999-02-19,1814
XF723,MN,1998-08-28,Michoacán,MEXICO,1999-02-10,1813
AJ936,MN,1998-09-22,Michoacán,MEXICO,1999-02-19,1809
BH235,WV,1998-09-21,Michoacán,MEXICO,1999-03-10,1808
AE475,MN,1998-09-25,Michoacán,MEXICO,1999-02-10,1807
XT476,,1998-09-03,Michoacán,MEXICO,1999-03-10,1806
XA820,MN,1998-08-27,Michoacán,MEXICO,1999-03-10,1804
MQ156,WV,1997-09-03,Michoacán,MEXICO,1999-02-17,1801
AJ434,,1998-09-16,Michoacán,MEXICO,1999-02-10,1798
AG947,MN,1998-09-28,Michoacán,MEXICO,1998-12-28,1798
AI731,MN,1998-09-28,Michoacán,MEXICO,1999-02-17,1797
NT2741,MN,1997-09-06,Michoacán,MEXICO,1998-03-14,1795
AE504,,1998-09-25,Michoacán,MEXICO,1999-02-19,1794
AE545,,1998-09-25,Michoacán,MEXICO,1999-02-20,1794
ZN995,MN,1998-08-20,Michoacán,MEXICO,1999-02-17,1792
ZN931,MN,1998-08-12,Michoacán,MEXICO,1999-04-05,1792
AU148,OH,1998-09-19,Michoacán,MEXICO,1999-03-01,1779
AB700,MN,1998-09-04,Michoacán,MEXICO,1999-02-10,1777
AB755,MN,1998-09-04,Michoacán,MEXICO,1999-02-17,1777
AB802,MN,1998-09-05,Michoacán,MEXICO,1999-03-10,1777
AB928,MN,1998-09-06,Michoacán,MEXICO,1999-02-22,1777
AB274,MN,1998-08-19,Michoacán,MEXICO,1999-02-17,1772
AB370,MN,1998-08-30,Michoacán,MEXICO,1999-02-20,1772
AB395,MN,1998-08-30,Michoacán,MEXICO,1999-02-19,1772
AB808,MN,1998-09-05,Michoacán,MEXICO,1999-04-05,1772
AB929,MN,1998-09-06,Michoacán,MEXICO,1998-12-30,1772
AG262,,1998-09-22,Michoacán,MEXICO,1999-03-03,1772
XF435,,1998-09-03,Michoacán,MEXICO,1999-02-20,1772
AD246,MN,1998-09-03,Michoacán,MEXICO,1999-04-05,1746
AD259,MN,1998-09-10,Michoacán,MEXICO,1999-02-10,1746
YJ188,MN,1998-08-21,Michoacán,MEXICO,1999-02-20,1744
YJ401,MN,1998-08-28,Michoacán,MEXICO,1999-03-03,1744
YJ409,MN,1998-08-28,Michoacán,MEXICO,1999-03-01,1744
YK478,MN,1998-09-05,Michoacán,MEXICO,1999-02-19,1744
ZG104,IA,1998-09-20,Michoacán,MEXICO,1999-03-03,1717
QZ599,IA,1997-09-02,Michoacán,MEXICO,1998-04-01,1707
XP818,IL,1998-10-10,Michoacán,MEXICO,1999-02-19,1701
XP855,IL,1998-10-10,Michoacán,MEXICO,1999-02-17,1701
ZT039,IA,1998-08-28,Michoacán,MEXICO,1998-12-30,1698
ZT076,IA,1998-08-30,Michoacán,MEXICO,1999-02-10,1698
ZT195,IA,1998-08-30,Michoacán,MEXICO,1999-03-01,1698
ZT203,IA,1998-08-30,Michoacán,MEXICO,1999-02-22,1698
ZT280,IA,1998-08-29,Michoacán,MEXICO,1999-02-10,1698
ZT297,IA,1998-08-30,Michoacán,MEXICO,1999-03-10,1698
ZT319,IA,1998-08-30,Michoacán,MEXICO,1998-12-13,1698
CC496,VA,1998-09-21,Michoacán,MEXICO,1999-02-19,1689
ZS359,MN,1998-09-10,Michoacán,MEXICO,1999-04-05,1679
YX692,IA,1998-09-01,Michoacán,MEXICO,1999-02-10,1679
XL437,SD,1998-09-13,Michoacán,MEXICO,1999-04-05,1672
XL875,SD,1998-09-13,Michoacán,MEXICO,1998-12-31,1672
YX741,IA,1998-09-15,Michoacán,MEXICO,1999-03-10,1668
XH223,SD,1998-09-25,Michoacán,MEXICO,1999-02-17,1667
XH339,SD,1998-09-01,Michoacán,MEXICO,1999-02-19,1667
XL484,SD,1998-09-24,Michoacán,MEXICO,1998-12-30,1667
XL578,SD,1998-09-07,Michoacán,MEXICO,1999-02-10,1667
XL594,SD,1998-09-06,Michoacán,MEXICO,1999-02-17,1667
XL736,SD,1998-09-25,Michoacán,MEXICO,1999-02-19,1667
XL867,SD,1998-09-13,Michoacán,MEXICO,1999-04-05,1667
DP697,IN,1998-09-19,Michoacán,MEXICO,1999-02-10,1667
OF750,,1997-09-25,Michoacán,MEXICO,1999-02-10,1666
XY650,IA,1998-08-31,Michoacán,MEXICO,1999-03-03,1666
OB396,,1997-09-08,Michoacán,MEXICO,1998-04-01,1653
XZ017,IA,1998-09-02,Michoacán,MEXICO,1999-02-20,1653
XY888,IA,1998-09-04,Michoacán,MEXICO,1999-03-11,1646
YX616,IA,1998-09-09,Michoacán,MEXICO,1999-03-10,1645
XZ095,IA,1998-09-09,Michoacán,MEXICO,1999-02-19,1637
CF479,IA,1998-09-25,Michoacán,MEXICO,1999-02-10,1633
CF529,IA,1998-09-25,Michoacán,MEXICO,1999-03-03,1633
AS343,IL,1998-09-08,Michoacán,MEXICO,1998-12-28,1630
BX122,IA,1998-09-18,Michoacán,MEXICO,1999-03-01,1596
BX166,IA,1998-09-27,Michoacán,MEXICO,1999-03-10,1596
BX171,IA,1998-09-27,Michoacán,MEXICO,1999-03-11,1596
SF810,IA,1997-09-16,Michoacán,MEXICO,1999-04-05,158b
SG011,IA,1997-09-09,Michoacán,MEXICO,1998-12-16,1572
ZN731,IA,1998-09-11,Michoacán,MEXICO,1999-02-22,1567
ZO337,IA,1998-09-10,Michoacán,MEXICO,1999-03-01,153S
ZO503,IA,1998-09-11,Michoacán,MEXICO,1999-02-19,153S
ZO510,IA,1998-09-11,Michoacán,MEXICO,1999-04-05,153S
DO762,NE,1998-09-17,Michoacán,MEXICO,1999-02-17,153E
DQ843,IA,1998-08-23,Michoacán,MEXICO,1999-02-17,1532
DR200,IA,1998-08-23,Michoacán,MEXICO,1999-04-05,1532
BW593,NE,1998-09-27,Michoacán,MEXICO,1998-12-28,1526
ZE752,,1998-09-10,Michoacán,MEXICO,1999-03-24,151E
ZE760,,1998-09-10,Michoacán,MEXICO,1999-02-17,151E
DY261,IA,1998-09-28,Michoacán,MEXICO,1999-03-01,1517
ZA849,IA,1998-09-07,Michoacán,MEXICO,1999-02-17,1517
ZA898,IA,1998-09-14,Michoacán,MEXICO,1999-03-01,1517
DR286,IA,1998-09-26,Michoacán,MEXICO,1999-04-05,1517
XH849,IN,1998-09-05,Michoacán,MEXICO,1999-02-17,1506
ZI466,TN,1998-09-21,Michoacán,MEXICO,1999-03-10,1504
ZC043,IA,1998-09-17,Michoacán,MEXICO,1999-02-17,1504
ZN764,IA,1998-09-11,Michoacán,MEXICO,1999-03-01,1492
