,Tag No.,Tag State,Tag Date,Report State,Report Country,Report Date,Miles
90,NH918,MN,1997-10-08,MN,USA,1997-10-11,5.0
91,PC825,CO,1997-10-07,CO,USA,1997-10-07,5.0
92,NT084,MI,1997-09-29,MI,USA,1997-10-04,5.0
93,OR490,OH,1997-08-30,OH,USA,1997-09-03,3.0
94,PJ381,WI,1997-09-04,WI,USA,1997-09-06,3.0
95,RK462,PA,1997-09-13,PA,USA,1997-09-14,2.0
96,UB138,PA,1997-10-28,PA,USA,,2.0
97,SY570,MO,1997-10-05,MO,USA,1997-10-06,2.0
98,NB344,IA,1997-09-17,IA,USA,1997-09-20,1.0
99,RO322,KS,,TX,USA,1997-10-17,
100,DZ859,PA,,FL,USA,1998-02-18,
101,071AB,KS,,TX,USA,1998-02-16,
102,LM896,TX,,MICH,MEXICO,1998-03-01,
