JJ 826,M,Michele Harrold,"Charles City, IA",9/10/96,09/07/96,"New Sharon, IA","Andy
Pickering",2 d,110 m,,,,
KM 517,F,"Stephanie Reinert/John
Wachholz
Salina Central High School","Salina, KS",9/13/96,9/21/96,"Topeka, KS","Sue
Mollenkamp",8 d,105 m,,,,
ES 356,M,"Shane Neel/T. Callender
Wamego High School","Wamego, KS",9/22/96,10/01/96,"Hillsdale, KS","Jeff, Nancy
and Sarah
Brower",9 d,87 m,,,,
JA853,M,Suki Easter,"Durham, NH",10/16/96,10/19/96,"Quabbin
Reservoir, MA",Sharon Shea,3 d,85 m,,,,
EC 748,M,"Megan McDowell/T. Callender
Wamego High School","Wamego, KS",9/13/96,9/22/96,"Baker Wetlands,
Lawrence, KS",John Fayman,9 d,60 m,,,,
KN 625,M,"Cal Cink
Biol. Dept., Baker Univ.","Baker Wetlands,
Lawrence, KS",9/15/96,9/16/96,"Wamego, KS",Chad Divine,1 d,60 m,,,,
CX 069,F,"Marti Adair/McDairbert Class
Travis Heights Elem.","Austin, TX",10/29/96,11/19/96,"Bluffton, TX","Mrs. Grace G.
Onstott",21 d,59 m,,,,
EO 157,M,John McCord,"Folly Beach, SC",10/14/96,10/26/96,"Hilton Head
Island, SC",Sandy Garrett,12 d,56 m,,,,
DT 926,M,Brian Filbey,"Windsor,
Ontario",10/5/96,10/18/96,"Curtice, OH","Karen A.
Montey",13 d,50 m,,,,
MI 832,F,Lee Petersen,"Rockford, MI",9/19/96,9/24/96,"Saugatuck, MI","Dawn L.
Stafford",5 d,46 m,,,,
JA535,F,Larry J. Brindza,"Snickers Gap,
VA",9/20/96,9/25/96,"Luray, VA","Robert F.
McCarty",5 d,42 m,,,,
JJ 799,,F,,ichele Harrold,"Charles City, IA",9/7/96,9/10/96,,"edar Falls, IA",,"ichole
halman",3 d,39 m
KB 495,,M,,"ob Adams
exas Christian Academy","Addison, TX",10/10/96,10/11/96,,"ort Worth, TX",,"athleen
oods",1 d,33 m
JK 078,,M,,arrell Terbush,"Valley Center,
KS",9/16/96,09/25/96,,"ulvane, KS",,"ristine &
acob Little",9 d,26 m
JM 123,,M,,ony Blackwell,"Fredonia, KS",9/19/96,9/19/96,,"ndependence,
S",,"ianna
raves",0 d,22 m
EH 973,,F,,"rian Molone/T. Callender
amego High School","Paxico, KS",9/15/96,9/19/96,,"amego, KS",,"elissa
obbins",4 d,12 m
ET 899,,M,,"rad Williamson
lathe East High School","Olathe, KS",9/25/96,9/27/96,,"verland Park,
S",,abriel Price,2 d,11 m
CV 690,,M,,"aroline Werth
edgwick Elementary","Sedgwick, ME",9/27/96,10/1/96,,"tonington, ME",,andra Weed,4 d,10 m
CX 824,,M,,nn Marie Colton,"Prt Washington,
NY",8/24/96,9/10/96,,". Hempstead,
Y",,ill Belford,17 d,9 m
EB 011,,M,,"ee Fabel
ebster Open School","Minneapolis,
MN",10/16/96,10/22/96,,"inneapolis,
N",,hristine Oss,6 d,7 m
KZ 000,,M,,arolyn Womack,"Hurst, TX",10/25/96,11/04/96,,"rlington, TX",,"ulie Ann
arvey",10 d,7 m
"HD 051
HD 347
HD 446
HC 048",,"M
F
F
M",,"eni Flear/T. Callender
amego High School","Belvue, KS",9/26/96,10/01/96,,"amego, KS",,"ordan
almateer",5 d,7 m
CT 674,,M,,"r. Thomas J. Riley
ept. of Entomology, LSU","Baton Rouge,
LA",10/8/96,10/9/96,,"mi SE of Baton
ouge",,oe Parker,1 d,5 m
DW 078,,M,,olly Ashcraft,"St. Paul, MN",9/25/96,9/27/96,,"t. Paul, MN",,"ate
ichelson",2 d,3 m
DV 579,,F,,irginia Malone,"3 mi. E of
Hondo, TX",11/3/96,11/11/96,,"ondo, TX",,"arla &
esley
lackwell",8 d,3 m
KN 107,,M,,"radon Campbell/T. Callender
amego High School","Louisville, KS",9/12/96,9/13/96,,"amego, KS",,ale Davies,1 d,3 m
EH 419,,F,,"arah Pittenger/T. Callender
amego High School","Louisville, KS",9/20/96,9/20/96,,"amego, KS",,arah Watt,0 d,3 m
DV 651,,F,,"arsha Collins 3rd Grade
est Elementary","Wamego, KS",9/16/96,9/17/96,,"ouisville, KS",,ami Kabril,1 d,3 m
DV 660,,M,,"arsha Collins 3rd Grade
est Elementary","Wamego, KS",9/16/96,9/17/96,,"ouisville, KS",,ami Kabril,1 d,3 m
KO 685,,M,,"arsha Collins 3rd Grade
est Elementary","Wamego, KS",9/16/96,9/18/96,,"ouisville, KS",,ami Kabril,2 d,3 m
"HY 802
DP 521",,?,,"icki Allred
utnam City North H.S.","Oklahoma City,
OK",9/30/96,10/1/96,,"klahoma City,
K",,om Bailey,1 d,2 m
,,M,,alter Knapp,"Topeka, KS",10/12/96,10/13/96,,"opeka, KS",,ancy Mote,1 d,2 m
DX 480,,F,,"ecelia Peterson
ettleton Magnet School","Duluth, MN",10/12/96,10/12/96,,"uluth, MN",,ick Meiers,0 d,1 m
CT 641,,M,,hip Clint,"Dallas, TX",9/24/96,9/24/96,,"allas, TX",,"aren A.
pton",0 d,1 m
