Tag No.,Tag State,Tag Date,Report State,Report Country,Report Date,Miles
AU 646,NY,1995-09-19,Michoacán,MEXICO,1996-02-01,2580.0
BW 003,MD,1995-09-14,Michoacán,MEXICO,1995-12-01,2285.0
AN 008,MN,1995-09-04,Michoacán,MEXICO,1996-03-01,1990.0
AG 802,IA,,Michoacán,MEXICO,1996-03-01,1820.0
CU 878,KS,1995-09-23,Michoacán,MEXICO,1996-03-01,1555.0
BP 359,KS,1995-09-18,Michoacán,MEXICO,1996-02-24,1510.0
BP 652,KS,1995-09-18,Michoacán,MEXICO,1996-03-01,1510.0
BO 299,KS,1995-10-01,Michoacán,MEXICO,1996-01-15,1500.0
CM 355,AR,1995-09-25,Michoacán,MEXICO,1995-12-30,1445.0
CJ 954,KS,1995-09-24,Michoacán,MEXICO,1996-03-01,1445.0
AS 887,KS,1995-09-23,Michoacán,MEXICO,1996-03-01,1440.0
AM 907,KS,1995-09-27,TX,USA,1995-10-19,694.0
BH 331,OH,,IL,USA,1995-10-03,465.0
AS 610,KS,1995-09-20,OK,USA,1995-10-04,290.0
AU 652,NY,1995-09-29,CT,USA,1995-10-12,215.0
CG 235,KS,1995-09-18,KS,USA,1995-09-29,162.0
AO 022,NH,,NY:,USA,1995-09-22,152.0
CM 577,PA,1995-10-12,PA,USA,1995-10-27,115.0
BO 125,KS,1995-09-22,KS,USA,1995-09-23,78.0
CK 683,KS,1995-09-20,KS,USA,1995-09-25,46.0
CB 809,MA,1995-10-13,MA,USA,1995-10-22,27.0
BW 716,NJ,1995-09-23,PA,USA,1995-09-24,26.0
AQ 178,IA,1995-09-09,IA,USA,1995-09-16,17.0
AS 039,KS,1995-09-03,KS,USA,1995-09-18,15.0
204 AD,KS,1995-09-17,KS,USA,1995-09-27,14.0
AF 384,MN,,MN,USA,1995-10-19,11.0
CP694,TX,,TX,USA,1996-05-07,8.0
CB 662,NJ,,NJ,USA,1995-10-14,3.0
BO 329,KS,1995-09-23,KS,USA,1995-09-26,2.0
BE 018,NJ,1995-09-28,NJ,USA,1995-10-02,0.0
AX 734,NJ,1995-09-24,NJ,USA,1995-10-01,0.0
BE 146,NJ,1995-09-30,NJ,USA,1995-10-01,0.0
AR 216,KS,1995-09-26,KS,USA,,0.0
BA402,MD,1995-09-28,MD,USA,1995-10-01,0.0
BR 711,WV,1995-09-13,WV,USA,1995-09-06,0.0
AB 902,PA,1995-09-08,PA,USA,1995-09-09,0.0
CJ 946,KS,1995-09-24,KS,USA,1995-09-25,0.0
AQ 103,MN,,MN,USA,1995-09-24,0.0
BN 789,KS,1995-09-17,KS,USA,1995-09-20,0.0
CH 262,TX,1995-09-21,TX,USA,1995-09-28,0.0
CW 347,KS,1995-09-20,KS,USA,1995-09-20,0.0
AQ 443,WI,1995-09-14,WI,USA,1995-09-15,0.0
AR 833,KS,,KS,USA,1995-09-27,0.0
CI 706,KS,1995-09-24,KS,USA,1995-09-29,0.0
CA512,KS,1995-09-07,KS,USA,1995-09-07,0.0
BD 004,MN,1995-10-02,MN,USA,1995-10-16,0.0
MJ 356,TX,,TX,USA,1995-10-11,0.0
CN 555,MD,,MD,USA,1995-10-22,0.0
CQ 903,TX,1996-05-10,TX,USA,1996-05-12,0.0
AK 132,,,MN,USA,1995-10-15,
393 KG,,,IA,USA,1995-08-18,
AU 742,,,NH,USA,1995-10-03,
