Tag No.,Tag State,Tag Date,Report State,Report Country,Report Date,Miles
145LA,NY,,NY,USA,1994-09-29,8
134LK,NY,1994-09-19,NY,USA,1994-09-25,0
945KX,IA,1994-09-10,MO,USA,1994-09-29,170
283LJ,IA,1994-09-19,IA,USA,1994-09-20,0
237AQ,KS,1994-09-21,KS,USA,1994-09-21,0
668KY,IA,1994-09-18,IA,USA,1994-09-25,0
873LT,KS,1994-09-15,MO,USA,1994-09-18,40
824KF,IA,1994-09-06,IA,USA,1994-09-11,100
666KO,KS,1994-09-05,KS,USA,1994-09-06,0
185KX,MO,,MO,USA,1994-09-27,0
701ME,NY,1994-09-24,NY,USA,1994-09-28,1
196KX,MN,,MN,USA,1994-09-27,0
828KW,MN,1994-09-19,MN,USA,1994-09-17,8
608LJ,VT,1994-09-26,VT,USA,1994-10-01,0
722LJ,VT,1994-10-04,VT,USA,1994-10-07,0
425LG,OK,1994-09-29,OK,USA,1994-10-14,28
374ME,NY,1994-10-17,NY,USA,1994-11-03,5
636LA,Quebec,1994-09-21,NY,USA,1994-10-23,150
889KW,MN,1994-09-16,MN,USA,,10
483KH,GA,1994-10-18,GA,USA,1994-10-20,0
583LG,OK,1994-09-21,OK,USA,1994-10-09,0
290MK,NE,1994-10-10,NE,USA,1994-10-12,0
281MC,NY,1994-10-23,NY,USA,1994-10-29,4
960KP,KS,1994-10-28,KS,USA,1994-11-02,0
351LA,NY,1994-10-04,NY,USA,1994-10-24,40
296MG,PA,1994-10-17,PA,USA,1994-10-31,100
103LX,KS,1994-09-26,Michoacán,MEXICO,1995-02-01,1350
868LA,NY,1994-10-15,CT,USA,,130
082KZ,MN,1994-09-08,Michoacán,MEXICO,1995-03-01,1970
801KF,IA,1994-09-01,Michoacán,MEXICO,1995-03-01,1930
687KJ,VA,1994-09-16,Michoacán,MEXICO,1995-03-01,2210
858KU,IA,1994-09-08,Michoacán,MEXICO,1995-03-01,1850
835KQ,KS,1994-09-08,Michoacán,MEXICO,1995-02-01,1570
842LT,KS,1994-09-15,Michoacán,MEXICO,1995-03-01,1550
217LD,Coahuila,1994-10-27,TX,USA,1995-03-31,420
986LG,KS,1994-09-16,Michoacán,MEXICO,1995-03-01,1480
